Artist,Album,Track Name,Track URI
The Game,Doctor's Advocate,Around the World,spotify:track:3mQYh081NAq7og9bdURg7j
Air,Talkie Walkie,Venus,spotify:track:14EMkYvQQ3E7gI8MFc9bFd
Frank Sinatra,Nothing But The Best,Summer Wind - 2008 Remastered,spotify:track:2vXVfpRRCin0m7b26He4aw
The Strokes,Bad Decisions,Bad Decisions,spotify:track:6e2pJqucDMxbp061B40r6O
The Weeknd,Beauty Behind The Madness,Shameless,spotify:track:6C6fHTuFUxVtJpBOOaMvJr
SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES,Immaterial,spotify:track:1huN927tTdSiwF90FBHXkT
Pat Benatar,In The Heat Of The Night,Heartbreaker,spotify:track:22ML0MuFKfw16WejbxsLOy
SZA,Good Days,Good Days,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A
FM LAETI,For the Music,You Inspire Me,spotify:track:5EA4CEKb8qjWPM2zawPLlk
Don Toliver,Heaven Or Hell,Heaven or Hell,spotify:track:1h0pnN5qyrpfQMnwrGzuCu
The Weeknd,After Hours,Save Your Tears,spotify:track:5QO79kh1waicV47BqGRL3g
Ennio Morricone,For a Few Dollars More (Original Motion Picture Soundtrack) - Remastered,For a Few Dollars More - Main Theme,spotify:track:1aXxjgFceA1j68soTeGsu8
Lord Huron,Strange Trails,The Night We Met,spotify:track:3hRV0jL3vUpRrcy398teAU
Playboi Carti,Playboi Carti,Half & Half,spotify:track:2TdZdeKIDMqi1B3139W4Wb
The Japanese House,Good At Falling,i saw you in a dream,spotify:track:0ltmioOsLQsL0OFgcPbdVi
Orchestral Manoeuvres In The Dark,Dazzle Ships,Telegraph - Extended Version / 2008 Digital Remaster,spotify:track:13LMqM49UoyGw4RUCUEi52
Stacking,Made in Hell,Kid Cudi Carti,spotify:track:1z8p5eBcEi7PiyMkwkrcW8
Halsey,BADLANDS,Coming Down,spotify:track:0RpekZEjiQc0fk7s3PKXRA
Duran Duran,Rio,Hungry Like the Wolf - 2009 Remaster,spotify:track:39lSeqnyjZJejRuaREfyLL
Halsey,BADLANDS,Ghost,spotify:track:5dcYoYFAXh0f0qI05AoufB
SiR,Chasing Summer,John Redcorn,spotify:track:3W2nknW1nTuuxUSyFCUCS8
Juice WRLD,Goodbye & Good Riddance,Wasted (feat. Lil Uzi Vert),spotify:track:1a7WZZZH7LzyvorhpOJFTe
Takeoff,Last Memory,Last Memory,spotify:track:66XXCMX3Na7KNfm5e0tOVZ
SAINt JHN,White Parents Are Gonna Hate This,White Parents Are Gonna Hate This,spotify:track:1JDvDrdoYSfhEf9ClkISnw
The Game,The Documentary,Start From Scratch,spotify:track:1gJnLSxvNGu96XBj2uweja
Glass Animals,How To Be A Human Being,Season 2 Episode 3,spotify:track:4vcoNCrTtunmJ9q8srpVly
Rico Nasty,Nasty,Countin' Up,spotify:track:6UFG7GbMAeeMijEyrp6f1D
Jorge Savoretti,Musica del Espacio,Musica del Espacio,spotify:track:5M90ozFJb8QabVqrD0NrS1
Boston,Boston,More Than a Feeling,spotify:track:1QEEqeFIZktqIpPI4jSVSF
Guru Josh Project,Infinity 2008,Infinity 2008 - Klaas Vocal Edit,spotify:track:3aQz0z86zrKjd1mcZlonxE
Portishead,Dummy,Glory Box,spotify:track:3Ty7OTBNSigGEpeW2PqcsC
DMX,The Best Of DMX,What's My Name,spotify:track:47rmj2r0Dow4cPWVUOsUNo
Nicki Minaj,Queen,Run & Hide,spotify:track:3yRtCntPrFnfYgiqn1He2o
Jimmy Whoo,Motel Music Pt. II,Cruisin',spotify:track:3knkVBvRx1k2au2ZnywrPt
Nicki Minaj,Queen,Chun Swae (feat. Swae Lee),spotify:track:03It1uO69CjGWP3yyVe465
Ezra Furman,Songs By Others,Good Book,spotify:track:312YdadlHg2xMjVLIlNkje
Eve,Eve-Olution,Figure You Out,spotify:track:2kY4ciFoyryHKl4MDu3eOx
Cyndi Lauper,The Best Of The 80's,Girls Just Want to Have Fun,spotify:track:7sMGwiS4vOMcz86ZY3vKYM
Dennis Edwards,Gold - '80s Soul,Don't Look Any Further - Single Version,spotify:track:1nrIaUgk4D5gI1yqQcsu3W
Daniel Caesar,Freudian,Best Part (feat. H.E.R.),spotify:track:1RMJOxR6GRPsBHL8qeC2ux
Ashley McBryde,Girl Going Nowhere,Girl Goin' Nowhere,spotify:track:2lyEpuvVOnNGzV5c89Vnpf
