platform,searchTime,searchQuery,searchInteractionURIs
IPHONE,2024-01-12T01:18:01.435Z[UTC],royks,['spotify:track:4ciy2AF8Q4g3ZxJVHTJ2jV']
OSX_X86_64,2024-01-12T11:13:17.232Z[UTC],lea,[]
IPHONE_ARM64,2024-01-12T18:36:36.269Z[UTC],tal,[]
IPHONE_ARM64,2024-01-12T18:36:39.670Z[UTC],tale kf us w,[]
IPHONE_ARM64,2024-01-12T18:36:43.293Z[UTC],tale kf us we are fh,[]
IPHONE_ARM64,2024-01-12T18:36:46.151Z[UTC],tale kf us we are the leopl,[]
IPHONE,2024-01-12T18:36:46.665Z[UTC],tale kf us we are the leople,['spotify:artist:1UL813H5aj3e8ekE5RqWqc']
,2024-01-13T00:41:31.931Z[UTC],f,[]
,2024-01-13T00:41:31.992Z[UTC],f,[]
,2024-01-13T00:41:32.117Z[UTC],fa,[]
,2024-01-13T00:41:32.177Z[UTC],fa,[]
,2024-01-13T00:41:32.275Z[UTC],fai,[]
,2024-01-13T00:41:32.330Z[UTC],fai,[]
,2024-01-13T00:41:32.713Z[UTC],fait,[]
,2024-01-13T00:41:32.757Z[UTC],faith,[]
,2024-01-13T00:41:32.776Z[UTC],fait,[]
,2024-01-13T00:41:32.812Z[UTC],faith,[]
,2024-01-13T00:41:32.823Z[UTC],faithl,[]
,2024-01-13T00:41:32.880Z[UTC],faithl,[]
,2024-01-13T00:41:32.930Z[UTC],faithle,[]
,2024-01-13T00:41:32.990Z[UTC],faithle,[]
,2024-01-13T00:41:33.217Z[UTC],faithles,[]
,2024-01-13T00:41:33.263Z[UTC],faithles,[]
,2024-01-13T00:41:33.321Z[UTC],faithless,[]
,2024-01-13T00:41:33.371Z[UTC],faithless,[]
IPHONE,2024-01-13T00:41:33.579Z[UTC],faithless,['spotify:track:7iClDFej8POrB7757pJsd7']
IPHONE_ARM64,2024-01-14T13:58:23.052Z[UTC],feel goo,[]
IPHONE,2024-01-14T13:58:26.340Z[UTC],feel good ,['spotify:playlist:37i9dQZF1EIgG2NEOhqsD7']
IPHONE_ARM64,2024-01-14T19:05:42.711Z[UTC],tierra,[]
IPHONE_ARM64,2024-01-14T19:05:44.688Z[UTC],tierra w,[]
IPHONE_ARM64,2024-01-14T19:05:45.129Z[UTC],tierra wha,[]
IPHONE_ARM64,2024-01-14T19:05:45.723Z[UTC],tierra whac,[]
IPHONE_ARM64,2024-01-14T19:05:46.800Z[UTC],tierra whack c,[]
IPHONE,2024-01-14T19:05:47.381Z[UTC],tierra whack clo,['spotify:track:6zlBoRMKQv2UyrafMVoQlq']
IPHONE,2024-01-14T19:06:16.514Z[UTC],doja,['spotify:search:doja+cat']
IPHONE,2024-01-14T19:06:17.431Z[UTC],doja cat,['spotify:artist:5cj0lLjcoR7YOSnhnX0Po5']
IPHONE,2024-01-14T19:07:30.723Z[UTC],21,['spotify:search:21+savage']
IPHONE,2024-01-14T19:07:32.047Z[UTC],21 savage,['spotify:artist:1URnnhqYAYcrqrcwql10ft']
,2024-01-15T00:45:59.174Z[UTC],k,[]
,2024-01-15T00:45:59.240Z[UTC],k,[]
